panel,series,line,x,density
Treatment,Endline,dashed,2.625,0.14411135439823305
Treatment,Endline,dashed,2.75,0.14936781409143746
Treatment,Endline,dashed,2.875,0.15432595181572228
Treatment,Endline,dashed,3.0,0.1589439551777745
Treatment,Endline,dashed,3.125,0.16318197317776081
Treatment,Endline,dashed,3.25,0.16700268646352762
Treatment,Endline,dashed,3.375,0.1703718531505875
Treatment,Endline,dashed,3.5,0.17325881905270368
Treatment,Endline,dashed,3.625,0.17563698169859454
Treatment,Endline,dashed,3.75,0.17748419831660994
Treatment,Endline,dashed,3.875,0.17878312903909002
Treatment,Endline,dashed,4.0,0.17952150788769472
Treatment,Endline,dashed,4.125,0.1796923356172309
Treatment,Endline,dashed,4.25,0.17929399017785377
Treatment,Endline,dashed,4.375,0.17833025235756414
Treatment,Endline,dashed,4.5,0.1768102460380752
Treatment,Endline,dashed,4.625,0.17474829438436437
Treatment,Endline,dashed,4.75,0.17216369513799545
Treatment,Endline,dashed,4.875,0.1690804199443122
Treatment,Endline,dashed,5.0,0.16552674426469835
Treatment,Endline,dashed,5.125,0.1615348158628762
Treatment,Endline,dashed,5.25,0.15714017107054515
Treatment,Endline,dashed,5.375,0.1523812090019053
Treatment,Endline,dashed,5.5,0.14729863457655756
Treatment,Endline,dashed,5.625,0.14193488161272436
Treatment,Endline,dashed,5.75,0.13633352736378263
Treatment,Endline,dashed,5.875,0.13053870969598652
Treatment,Endline,dashed,6.0,0.12459455765796269
Treatment,Endline,dashed,6.125,0.11854464549503306
Treatment,Endline,dashed,6.25,0.11243147924255899
Treatment,Endline,dashed,6.375,0.10629602392690536
Treatment,Endline,dashed,6.5,0.10017727814919013
Treatment,Endline,dashed,6.625,0.09411190146739809
Treatment,Endline,dashed,6.75,0.0881338985696252
Treatment,Endline,dashed,6.875,0.08227436278784771
Treatment,Endline,dashed,7.0,0.07656128007864785
Treatment,Endline,dashed,7.125,0.07101939323277137
Treatment,Endline,dashed,7.25,0.06567012480315462
Treatment,Endline,dashed,7.375,0.06053155609009
Treatment,Endline,dashed,7.5,0.05561845851583094
Treatment,Endline,dashed,7.625,0.05094237287648923
Treatment,Endline,dashed,7.75,0.04651173128769703
Treatment,Endline,dashed,7.875,0.04233201614725782
Treatment,Endline,dashed,8.0,0.03840595012216386
Treatment,Endline,dashed,8.125,0.034733711022885624
Treatment,Endline,dashed,8.25,0.031313165444037554
Treatment,Endline,dashed,8.375,0.02814011521278396
Treatment,Endline,dashed,8.5,0.025208550976967017
Treatment,Endline,dashed,8.625,0.022510907663998908
Treatment,Endline,dashed,8.75,0.02003831702778877
Treatment,Endline,dashed,8.875,0.0177808530525788
Treatment,Endline,dashed,9.0,0.015727766577997664
Treatment,Endline,dashed,9.125,0.013867706128286006
Treatment,Endline,dashed,9.25,0.012188922551402777
Treatment,Endline,dashed,9.375,0.010679455683445326
Treatment,Endline,dashed,9.5,0.009327301835688041
Treatment,Endline,dashed,9.625,0.00812056144327551
Treatment,Endline,dashed,9.75,0.007047566706545109
Treatment,Endline,dashed,9.875,0.006096989491090882
Treatment,Endline,dashed,10.0,0.005257930126546801
Treatment,Endline,dashed,10.125,0.004519988054567199
Treatment,Endline,dashed,10.25,0.003873315523655774
Treatment,Endline,dashed,10.375,0.003308655714238649
Treatment,Endline,dashed,10.5,0.0028173668051369744
Treatment,Endline,dashed,10.625,0.002391433567041885
Treatment,Endline,dashed,10.75,0.0020234680953073333
Treatment,Endline,dashed,10.875,0.0017067012795311174
Treatment,Endline,dashed,11.0,0.0014349665574822392
Treatment,Endline,dashed,11.125,0.0012026774225044987
Treatment,Endline,dashed,11.25,0.0010048000529746452
Treatment,Endline,dashed,11.375,0.0008368223157719753
Treatment,Endline,dashed,11.5,0.0006947202685995982
Treatment,Endline,dashed,11.625,0.0005749231533782784
Treatment,Endline,dashed,11.75,0.00047427773915763506
Treatment,Endline,dashed,11.875,0.0003900127417221455
Treatment,Endline,dashed,12.0,0.00031970392129302783
Treatment,Endline,dashed,12.125,0.0002612403417605877
Treatment,Endline,dashed,12.25,0.0002127921664205184
Treatment,Endline,dashed,12.375,0.00017278026735889832
Treatment,Endline,dashed,12.5,0.00013984783905657654
Treatment,Endline,dashed,12.625,0.00011283413165310594
Treatment,Endline,dashed,12.75,9.075035545075367e-05
Treatment,Endline,dashed,12.875,7.275775518845705e-05
Treatment,Endline,dashed,13.0,5.814780969084116e-05
Treatment,Endline,dashed,13.125,4.6324478857584416e-05
Treatment,Endline,dashed,13.25,3.678839466104178e-05
Treatment,Endline,dashed,13.375,2.9122874870248132e-05
Treatment,Endline,dashed,13.5,2.2981626611247694e-05
Treatment,Endline,dashed,13.625,1.8078000623478373e-05
Treatment,Endline,dashed,13.75,1.41756552444606e-05
Treatment,Endline,dashed,13.875,1.1080490882518176e-05
Treatment,Endline,dashed,14.0,8.633720232376159e-06
Treatment,Endline,dashed,14.125,6.705946051790495e-06
Treatment,Endline,dashed,14.25,5.192126340357406e-06
Treatment,Endline,dashed,14.375,4.007315725976143e-06
Treatment,Endline,dashed,14.5,3.083081338356761e-06
Treatment,Endline,dashed,14.625,2.364501081628364e-06
Treatment,Endline,dashed,14.75,1.807661732388055e-06
Treatment,Endline,dashed,14.875,1.3775834740336356e-06
Treatment,Endline,dashed,15.0,1.0465061788218583e-06
